Borough,ID,Survey Date,Survey Year,On-Carriageway (if 1) or Off-Carriageway (if 0),Segregated Lane/Track,Stepped Lane/Track,Partially Segregated Lane/Track,Shared Lane or Footway,Mandatory Cycle Lane,Advisory Cycle Lane,Cycle Lane/Track Priority,Contraflow Lane/Track,Bi-directional,Cycle Bypass,Continuous Cycle Facilities at Bus Stop,Park Route,Waterside Route,Part-time (if 1) or Full-time (if 0),Total Tracks or Lanes,Access Times,Colour
Haringey, RWG279587,23/02/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, GREEN
CityofLondon, RWG152201,20/12/2017,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1, None, NONE
CityofLondon, RWG152213,21/12/2017,2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Redbridge, RWG155642,26/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
Hackney, RWG073524,07/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Redbridge, RWG155646,26/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
Hackney, RWG073199,02/07/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Redbridge, RWG155640,26/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Redbridge, RWG155645,26/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Barking&Dagenham, RWG154835,14/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Hackney, RWG073509,06/09/2017,2017,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Hackney, RWG073522,07/09/2017,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
CityofLondon, RWG066267,29/06/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Croydon, RWG205098,01/12/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1, 8am-4.30pm, NONE
Redbridge, RWG155643,26/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Bexley, RWG184555,25/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Hackney, RWG073201,02/07/2017,2017,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1, None, NONE
Redbridge, RWG155851,02/11/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
Greenwich, RWG291036,17/11/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
Bexley, RWG184556,25/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
CityofLondon, RWG152209,21/12/2017,2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Barking&Dagenham, RWG154850,15/10/2017,2017,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
Enfield, RWG187375,28/09/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, RED
Greenwich, RWG185576,23/01/2018,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, RED
Hackney, RWG108715,06/09/2017,2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Hackney, RWG073508,06/09/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG185577,23/01/2018,2018,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1, None, NONE
Enfield, RWG187624,20/09/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Southwark, RWG153868,17/01/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Greenwich, RWG999507,06/08/2018,2018,0,0,0,1,,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Southwark, RWG107455,16/08/2017,2017,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Croydon, RWG219617,11/01/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG186019,14/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
CityofLondon, RWG066288,29/06/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG107735,02/11/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
Croydon, RWG219284,20/12/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Haringey, RWG279061,22/02/2018,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Hackney, RWG003419,06/06/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG185029,06/11/2017,2017,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1, None, NONE
Southwark, RWG107402,14/08/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
Hackney, RWG073187,02/07/2017,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
Croydon, RWG219052,16/12/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG153891,18/01/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Islington, RWG003401,05/06/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, Mon-Fri 7-10am, NONE
Southwark, RWG135935,25/07/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1, mon-sat 7am-10am 4-7pm, GREEN
Haringey, RWG279274,22/02/2018,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-sat 7am-7pm, NONE
Croydon, RWG219595,06/01/2018,2018,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1, Mon - Fri 7-10 am 4-7 pm, NONE
Redbridge, RWG155636,26/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
Southwark, RWG082123,27/07/2017,2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG186073,16/11/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1, None, NONE
CityofLondon, RWG152727,03/01/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
CityofLondon, RWG066376,30/06/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG107782,03/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Croydon, RWG204730,01/12/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG135762,04/12/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Greenwich, RWG184942,06/11/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1, At any time , NONE
Haringey, RWG280217,05/03/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Redbridge, RWG154752,12/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
Southwark, RWG082027,25/07/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, Mon-sat 7-10am 4-7pm, NONE
Southwark, RWG081974,26/07/2017,2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Southwark, RWG135936,25/07/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
Hackney, RWG108716,06/09/2017,2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Southwark, RWG107625,24/08/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Redbridge, RWG154748,12/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
Redbridge, RWG155635,26/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
Hackney, RWG073519,07/09/2017,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG107561,23/08/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, GREEN
Croydon, RWG219221,19/12/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
Southwark, RWG082206,28/07/2017,2017,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1, None, RED
Enfield, RWG149653,27/09/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1, at anytime , NONE
Croydon, RWG219307,20/12/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Redbridge, RWG154747,12/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
Islington, RWG003382,04/06/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, 4-7pm, NONE
Redbridge, RWG155644,26/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
CityofLondon, RWG153069,10/01/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Croydon, RWG219600,07/01/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Croydon, RWG204714,30/11/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Redbridge, RWG155813,02/11/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
Redbridge, RWG154749,12/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
Islington, RWG152730,26/06/2017,2017,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG276772,10/03/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1, None, NONE
Southwark, RWG107563,23/08/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Islington, RWG152271,22/12/2017,2017,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Islington, RWG066023,26/06/2017,2017,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1, None, NONE
Croydon, RWG219048,15/12/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Redbridge, RWG154750,12/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
CityofLondon, RWG152728,03/01/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Hackney, RWG003427,06/06/2017,2017,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1, None, RED
Southwark, RWG107562,23/08/2017,2017,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Barking&Dagenham, RWG154849,15/10/2017,2017,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG135811,01/12/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Barking&Dagenham, RWG289891,15/10/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Greenwich, RWG185584,23/01/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, RED
Redbridge, RWG155812,02/11/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
Greenwich, RWG276777,10/03/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1, None, NONE
Southwark, RWG082034,25/07/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
Redbridge, RWG155637,26/10/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Haringey, RWG279265,22/02/2018,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-sat 7am-7pm, NONE
Greenwich, RWG185028,06/11/2017,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1, None, GREEN
Enfield, RWG149153,19/09/2017,2017,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1, None, NONE
Redbridge, RWG220948,12/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
Southwark, RWG135070,23/08/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
Redbridge, RWG154751,12/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
Southwark, RWG082030,25/07/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG135764,04/12/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Enfield, RWG149118,17/09/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG135763,04/12/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Southwark, RWG082151,28/07/2017,2017,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Southwark, RWG150718,13/12/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-sat 7am-7pm , NONE
CityofLondon, RWG066332,30/06/2017,2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Croydon, RWG219222,19/12/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
CityofLondon, RWG066248,29/06/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, RED
Hackney, RWG030535,21/08/2017,2017,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG185564,23/01/2018,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, RED
Greenwich, RWG186021,14/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Southwark, RWG082373,01/08/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
Southwark, RWG082029,25/07/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, Mon-sat 7-10am 4-7pm, NONE
Enfield, RWG149152,19/09/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG185565,23/01/2018,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, GREEN
Redbridge, RWG154759,12/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG276839,14/03/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Enfield, RWG149119,17/09/2017,2017,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
Croydon, RWG219458,22/12/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG081972,25/07/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
Redbridge, RWG155814,02/11/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Croydon, RWG219510,29/12/2017,2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Southwark, RWG108068,31/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG184724,06/11/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, GREEN
Southwark, RWG107548,22/08/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG207154,02/02/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Southwark, RWG082031,25/07/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
Greenwich, RWG184849,14/11/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Croydon, RWG219616,11/01/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG185298,06/11/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, GREEN
Southwark, RWG999685,03/05/2018,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1, None, NONE
Hackney, RWG030393,15/08/2017,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
Islington, RWG030411,17/08/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-sat 7am-7pm , NONE
Croydon, RWG219051,16/12/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG185299,06/11/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, GREEN
Southwark, RWG135853,01/12/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Southwark, RWG107400,14/08/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Croydon, RWG204713,30/11/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Enfield, RWG150096,28/09/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, RED
Hackney, RWG151552,24/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1, 7.30am to 4.30pm, NONE
Greenwich, RWG185932,07/11/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Croydon, RWG219200,19/12/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG207155,02/02/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Southwark, RWG107796,06/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Southwark, RWG107797,06/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Croydon, RWG219602,07/01/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG186152,23/01/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Greenwich, RWG185300,06/11/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, GREEN
Southwark, RWG082374,01/08/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Hackney, RWG073202,02/07/2017,2017,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1, None, GREEN
CityofLondon, RWG066839,10/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG185363,08/11/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Croydon, RWG205097,01/12/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1, 8am-4.30pm, NONE
Croydon, RWG291786,09/04/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Southwark, RWG082695,05/10/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, GREEN
Greenwich, RWG185301,06/11/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, GREEN
Southwark, RWG107553,22/08/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, RED
Hackney, RWG030329,11/07/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Croydon, RWG204711,30/11/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
CityofLondon, RWG152210,21/12/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Enfield, RWG187565,23/01/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, RED
Haringey, RWG280218,05/03/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Hackney, RWG073495,06/09/2017,2017,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG185329,07/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
CityofLondon, RWG066326,30/06/2017,2017,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG185840,02/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Haringey, RWG279083,23/02/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG082122,26/07/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Croydon, RWG219485,28/12/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Croydon, RWG219608,07/01/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG107744,02/11/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, GREEN
Southwark, RWG082376,01/08/2017,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1, None, GREEN
Southwark, RWG108031,30/10/2017,2017,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1, None, NONE
Southwark, RWG108051,30/10/2017,2017,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Southwark, RWG107798,06/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Southwark, RWG108032,30/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG108052,30/10/2017,2017,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Southwark, RWG107555,22/08/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Enfield, RWG150270,26/09/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, RED
Southwark, RWG082266,28/07/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
Enfield, RWG149652,27/09/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG107556,22/08/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
Southwark, RWG107557,22/08/2017,2017,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
Southwark, RWG107552,22/08/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG082377,01/08/2017,2017,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG150719,13/12/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-sat 7am-7pm , NONE
Haringey, RWG279572,23/02/2018,2018,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, GREEN
Southwark, RWG081934,25/07/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG135755,01/12/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Croydon, RWG219474,27/12/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Southwark, RWG082215,28/07/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Haringey, RWG279575,23/02/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Haringey, RWG279574,23/02/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Greenwich, RWG185931,07/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Enfield, RWG150020,26/09/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, RED
Enfield, RWG150019,26/09/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, RED
Southwark, RWG082378,02/08/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Croydon, RWG219199,19/12/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG185330,07/11/2017,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1, None, RED
Haringey, RWG279386,06/03/2018,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, Mon to Fri 7am-10am , NONE
Enfield, RWG150258,26/09/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, RED
Barking&Dagenham, RWG221247,15/10/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Greenwich, RWG290315,05/04/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Hackney, RWG030328,11/07/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Haringey, RWG279316,23/02/2018,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, Mon to Fri 7am-10am , NONE
Southwark, RWG108069,31/10/2017,2017,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
Croydon, RWG219615,11/01/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG244343,19/02/2018,2018,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Croydon, RWG219198,19/12/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Southwark, RWG107772,03/11/2017,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1, None, GREEN
Greenwich, RWG244296,07/11/2017,2017,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1, None, NONE
Croydon, RWG219224,19/12/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
Hackney, RWG030392,15/08/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, Mon-Sat 7-10am 4--7pm Sun 1-7pm, NONE
Croydon, RWG219476,27/12/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
Haringey, RWG280196,04/03/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
CityofLondon, RWG152281,20/12/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Greenwich, RWG185227,02/11/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, GREEN
Southwark, RWG082155,28/07/2017,2017,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG186144,23/01/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, BUFF/YELLOW
Southwark, RWG082272,29/07/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
Southwark, RWG108070,31/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, BLUE
Greenwich, RWG276840,14/03/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Croydon, RWG219196,19/12/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
